borrower_income,credit_score,naics_code,equipment_type,loan_amount,down_payment,term_months,dealer_state,ltv,prior_defaults,bankruptcy_history,risk_flags,approved,loss_rate
138770.3,737.0,1121,Combine,253849.96,27206.64,36,SD,0.9032,0,0,low_down_payment,1,0.0302
107971.38,747.0,1121,Baler,119799.48,38293.91,65,SD,0.7578,0,0,,1,0.025
74358.17,752.0,1121,Tractor,198393.98,39263.66,58,MO,0.8348,0,0,,1,0.0444
86711.32,657.0,1112,Sprayer,164327.07,89002.86,50,MN,0.6487,0,0,,1,0.0267
138446.44,715.0,1113,Sprayer,87705.83,26501.52,52,ND,0.768,0,0,,1,0.0213
118010.37,720.0,1112,Tractor,86324.12,19647.88,42,IL,0.8146,0,0,,1,0.0217
148572.53,592.0,4238,Harvester,71080.56,8851.11,55,ND,0.8893,0,0,low_credit,1,0.1465
96391.31,615.0,1111,Skid Steer,133891.8,44307.01,46,ND,0.7514,0,0,low_credit,1,0.0715
133151.57,668.0,1152,Sprayer,173488.19,41406.61,65,ND,0.8073,0,0,,1,0.0436
126633.6,710.0,1121,Planter,77139.93,17047.96,67,KS,0.819,0,0,,1,0.032
60123.89,707.0,1113,Sprayer,66411.77,5321.46,49,NE,0.9258,0,0,low_down_payment,0,0.0806
89743.51,731.0,1121,Skid Steer,114718.4,13315.28,39,SD,0.896,0,0,,1,0.0279
115470.43,686.0,4238,Tractor,238311.69,38036.76,79,IL,0.8624,0,0,long_term,1,0.0518
170848.63,620.0,1121,Planter,115241.24,30366.43,52,MO,0.7915,0,0,low_credit,1,0.0808
59298.94,702.0,1112,Planter,48716.53,3238.65,70,MO,0.9377,0,0,low_down_payment;low_income,0,0.1154
86308.92,651.0,1121,Harvester,111892.87,14534.71,58,MO,0.885,0,0,,1,0.0723
102579.79,782.0,1113,Tractor,67093.85,11021.75,61,IL,0.8589,0,0,,1,0.0337
142732.01,635.0,1121,Loader,140058.62,18072.68,71,WI,0.8857,0,0,low_credit,1,0.1051
49847.74,615.0,1112,Planter,81533.77,13671.62,62,MN,0.8564,0,0,low_income;low_credit,0,0.1985
154782.99,709.0,1113,Tractor,239200.33,41263.47,78,IL,0.8529,0,0,long_term,1,0.0466
87756.57,765.0,1121,Planter,249048.05,49441.32,46,MN,0.8344,0,0,,0,0.0263
109076.32,720.0,1112,Skid Steer,34839.92,14410.64,36,IL,0.7074,0,0,,1,0.0133
45312.33,687.0,1113,Loader,216743.7,73514.28,54,MO,0.7467,0,0,low_income,1,0.0724
115912.36,695.0,1113,Combine,274051.93,53014.64,46,MO,0.8379,0,0,,0,0.025
39145.11,653.0,1121,Combine,277826.19,51745.89,63,KS,0.843,0,0,low_income,0,0.1623
65541.26,680.0,1121,Loader,198199.25,31635.58,38,NE,0.8624,0,0,,1,0.0543
52279.5,665.0,3331,Loader,172784.24,121269.23,64,MO,0.5876,0,0,low_income,1,0.0589
43129.69,672.0,1112,Planter,109519.95,22319.68,56,ND,0.8307,0,0,low_income,0,0.1173
107391.99,685.0,1113,Combine,130702.18,34355.11,51,ND,0.7919,0,0,,1,0.0251
54941.48,751.0,1151,Baler,151504.46,20455.58,63,WI,0.881,0,0,low_income,0,0.0928
116867.27,688.0,3331,Baler,294858.28,48910.78,56,SD,0.8577,0,0,,1,0.0324
118319.73,665.0,1121,Planter,130916.9,31535.4,38,KS,0.8059,0,0,,1,0.0313
57619.57,667.0,1121,Planter,119517.44,25368.7,75,WI,0.8249,0,0,low_income;long_term,1,0.1227
91654.31,689.0,4238,Planter,183947.17,60091.97,51,SD,0.7538,0,0,,1,0.0204
138789.1,785.0,1112,Baler,61947.14,23344.23,68,MN,0.7263,0,0,,1,0.0234
59382.72,687.0,1151,Combine,248497.23,35203.12,45,MO,0.8759,0,0,low_income,1,0.0704
118696.5,689.0,4238,Tractor,219591.31,0.0,64,NE,1.0,0,0,high_ltv;low_down_payment,0,0.069
143096.28,654.0,1112,Sprayer,56721.62,15029.63,69,IN,0.7905,0,0,,1,0.055
98136.49,706.0,1112,Planter,129826.51,26252.06,71,WI,0.8318,0,0,,1,0.0355
105514.17,758.0,3331,Loader,212937.07,70054.89,70,ND,0.7524,0,0,,1,0.0265
84403.53,691.0,1113,Skid Steer,56844.82,25341.29,75,IA,0.6917,0,0,long_term,1,0.0296
41425.54,558.0,1113,Sprayer,259416.43,65708.35,60,WI,0.7979,0,0,low_income;low_credit,1,0.2331
