loan_amount,equipment_age,down_payment_percent,ltv,borrower_income,credit_score,trade_in_present,equipment_type,borrower_state,naics_code,risk_flag_count,missing_serial_indicator,equipment_age_variance,approval,risk_score,optimal_down_payment_percent,optimal_term_months
109192.6,16.0,0.14013392185643161,0.9167493427582889,114269.49,676.8671669763237,0.0,Tillage,KS,1112,3.0,0.0,0.0,0,59.9903764413657,0.27015316897370023,85
61393.85,10.0,0.04837257136881651,0.8683034234217137,89954.31,702.6702410526847,0.0,Loader,ND,1152,1.0,0.0,40.666666666666664,0,41.05149039615691,0.2162695905765027,67
363346.73,9.0,0.26417796578162767,1.2406316938722415,126824.74,665.8520349442284,0.0,Tillage,IN,3331,1.0,0.0,0.0,0,53.860083034148786,0.40645779971333007,71
250453.25,5.666666666666667,0.4181493471489848,0.9650829566029504,127867.34,726.4428982733888,1.0,Planter,SD,1151,3.0,1.0,21.555555555555554,0,31.682468545432155,0.5,92
237870.42,9.5,0.2968952583935743,1.0603141715772713,64927.6,587.7090526399904,1.0,Combine,IN,3331,3.0,0.0,2.25,0,65.91095837585517,0.3850733416418639,78
206649.0,6.333333333333333,0.1617897709485008,1.0123804264489102,89982.43,685.81552869525,1.0,Planter,ND,1113,3.0,1.0,1.5555555555555554,0,56.97104207094633,0.2678476868066082,84
72738.07,8.0,0.17684973715649094,0.9349590917227646,297610.41,705.681811273825,0.0,Loader,SD,1113,1.0,0.0,0.0,1,35.592722556071045,0.35566429204434885,72
166103.05,7.5,0.2345746599626946,0.7589359448728904,131527.04,657.5764054853951,1.0,Combine,ND,1152,1.0,0.0,30.25,1,24.569692108397195,0.4054352757459002,82
176321.67,11.0,0.10138126735068613,0.9756854774336947,112541.21,607.1085767901031,0.0,Harvester,IL,1111,4.0,0.0,0.0,0,70.62879307982803,0.2101236811910301,68
88431.44,17.0,0.16853793063950004,1.0333488998420057,65583.22,653.8330449298418,0.0,Combine,ND,3331,3.0,1.0,0.0,0,67.00143569236863,0.2845350592547628,87
248292.34,0.0,0.21682357433802263,0.8925739882201873,56547.36,747.531778290325,0.0,Tillage,IL,1111,1.0,0.0,0.0,1,35.51108199861829,0.39580141034078603,78
144596.54,4.0,0.1836387656513136,0.7200164836184346,135383.35,692.8128132203689,1.0,Harvester,KS,1112,2.0,1.0,1.0,0,36.71281382337879,0.330213138004556,79
231052.51,10.0,0.1419892887551748,0.9648045328119873,96594.81,764.9453451891837,1.0,Tillage,IL,1113,3.0,0.0,16.0,0,49.88646428839518,0.26221636017838446,75
137870.72,8.5,0.12901404561490284,0.5721618118620959,190238.36,669.0370532116353,1.0,Tillage,IN,4238,3.0,1.0,20.25,1,52.036025256291175,0.24494199510232054,71
79532.76,1.0,0.20869755378527116,1.0346282904719923,40000.0,732.388433015212,0.0,Sprayer,MO,1113,2.0,0.0,1.0,1,51.08975913124416,0.35651803552278283,70
103774.21,6.0,0.19465284892857532,0.9403076261567344,143013.49,717.9250648401039,1.0,Planter,OH,1119,2.0,0.0,0.0,1,43.94786032275228,0.3267571282830708,69
286696.76,10.0,0.07074463304571818,1.1923041399592977,202002.37,634.0919157951319,0.0,Loader,MN,1111,4.0,1.0,12.666666666666666,0,82.03367272846639,0.1566772875887854,72
311335.16,7.0,0.18892802342027634,0.9884728266783551,103783.71,630.9811870115727,0.0,Tractor,OK,4238,2.0,0.0,16.0,0,48.5268601058624,0.34187430320855156,63
62821.99,7.0,0.09155687439788117,0.886516354719273,48086.15,607.556520967343,0.0,Tillage,KS,1152,3.0,0.0,38.0,0,58.60904431585501,0.22433878576617117,68
185469.55,11.0,0.24511104280886054,0.5842155454260161,167842.59,675.7700487486909,1.0,Combine,NE,1113,3.0,1.0,0.0,0,45.151215619779485,0.37480861156930156,79
99642.71,3.0,0.11166636931380268,0.9715075585032306,122498.56,640.5307868237002,0.0,Tillage,KS,1113,4.0,1.0,9.0,0,64.96298998540439,0.2317403893429939,64
173375.24,12.0,0.25434344206903625,0.7044049277773465,85274.08,538.7418329397168,0.0,Loader,OK,1112,2.0,0.0,0.0,1,54.6938539004261,0.39495573426818403,79
191753.5,12.0,0.16061480227985267,0.9965310908096812,47630.02,702.1676248100342,1.0,Loader,IL,1151,4.0,0.0,0.0,0,68.66269021625328,0.24328942184734612,79
113816.33,11.0,0.2120298655418791,0.7840146071171146,115115.25,596.6307729765033,1.0,Harvester,NE,1119,4.0,1.0,10.666666666666666,0,57.46035390430087,0.3171091577332774,85
173866.03,14.0,0.23159912401095623,0.7823395923798715,40000.0,792.4274658767184,1.0,Planter,WI,1111,3.0,0.0,4.666666666666667,1,59.72138833788696,0.3321563473351823,74
81427.81,8.0,0.03663103369173348,1.0660856994518157,166196.51,676.1002728084818,1.0,Combine,MN,1113,4.0,1.0,36.0,0,64.97232149983486,0.12668639069206375,79
138357.66,6.0,0.10474750897936294,0.9865828872076081,102505.25,681.1427845562152,0.0,Planter,SD,1119,2.0,0.0,0.0,0,52.846555974057374,0.2490543970312482,83
216478.08,11.5,0.3366278213328002,0.7258992663344911,118980.82,699.7223323024247,1.0,Combine,MN,3331,2.0,0.0,2.25,1,32.80012213317362,0.49102757706645295,54
184629.88,4.0,0.1634304963591405,1.1118518926471932,142315.97,717.8236785494447,0.0,Loader,IN,1111,1.0,0.0,2.6666666666666665,1,46.41610196543038,0.32059829242827975,77
171475.88,9.0,0.19239707624286093,0.7709848447015001,51307.68,678.7281753501101,1.0,Loader,NE,3331,2.0,0.0,42.0,0,48.535974301214836,0.3153251276404313,60
233530.47,8.666666666666666,0.22858730087081913,0.7580863704279344,174028.88,671.1209330989724,1.0,Sprayer,IA,1151,1.0,0.0,6.888888888888888,1,29.88505750549939,0.3888171858598203,79
232314.99,12.333333333333334,0.11851683898606566,0.7246100874023162,66125.71,756.8131462102235,1.0,Tillage,MN,1113,4.0,1.0,13.555555555555557,0,54.19395906930545,0.23012892084745476,84
185664.4,6.5,0.09859900042850624,0.9123544185231043,199805.31,717.1305778366769,0.0,Combine,MO,1113,2.0,0.0,12.25,1,51.482191827762776,0.2456346167729807,71
174992.59,1.0,0.20393227809771933,0.7329995199479101,93502.28,737.8114750282867,1.0,Combine,ND,1112,1.0,0.0,0.0,1,27.92622845830048,0.36807982118111837,66
208588.52,9.0,0.08399892090692161,0.718639871897631,134288.3,624.0328995796781,0.0,Planter,WI,1113,2.0,0.0,0.0,0,41.20954217714629,0.25157983655262905,66
127746.02,6.5,0.02045125342565532,0.8547756768829589,40000.0,605.8837663805446,0.0,Tractor,NE,3331,3.0,0.0,30.25,0,64.53861502390366,0.141374023377848,69
173914.53,8.0,0.3229127768078387,1.0252203694986584,137331.92,740.8516446127353,0.0,Loader,KS,1152,1.0,0.0,1.0,1,40.17059156866811,0.49257159367050246,67
104726.33,15.0,0.2844405649489066,0.8238856604519595,82847.1,642.5725122288451,1.0,Harvester,ND,3331,3.0,0.0,0.0,0,51.597858313197406,0.40124484832251184,88
83476.17,6.5,0.13521187687192066,0.73444651542294,176601.04,743.6061729885112,0.0,Loader,IN,1113,1.0,0.0,30.25,1,33.329250481705564,0.3185533759085095,74
243500.52,11.0,0.21639887845169575,0.7852853057214632,67201.82,714.8451140092934,1.0,Harvester,NE,1113,3.0,1.0,0.0,0,48.74680875306517,0.3389052609455654,61
286623.03,11.0,0.10142003108180409,1.046361667471106,116820.04,632.808574478785,0.0,Combine,SD,1119,4.0,0.0,0.0,1,62.442276661412976,0.22653547775897814,83
353158.87,6.0,0.30210714641546854,1.1191535920328985,167898.71,606.6884873313553,0.0,Planter,MN,1121,2.0,0.0,0.0,0,55.893803398531745,0.44031953961840503,79
194209.59,7.0,0.25101150048002935,0.8863125124302503,160794.71,693.2043400546594,1.0,Harvester,NE,1151,2.0,1.0,49.0,1,37.98317121073367,0.395045158058562,71
262853.87,7.5,0.11628328023999596,0.9045981711256899,169737.69,652.7352992901206,0.0,Sprayer,OK,3331,2.0,0.0,0.25,0,52.74894944210987,0.2607853813557762,76
226545.99,7.5,0.09803235773571066,0.9339037942937196,143554.9,619.8329824887244,0.0,Tillage,IN,1151,3.0,0.0,42.25,0,60.425863959122594,0.22718062981746548,71
172888.24,11.666666666666666,0.36502860138854404,0.6416112025461601,134252.08,716.1148977574701,1.0,Tractor,KS,1111,3.0,1.0,14.222222222222221,0,47.249508819213666,0.4905295837501167,87
56988.59,9.333333333333334,0.10769004578854702,0.945940654408131,133637.16,629.1379628416666,0.0,Sprayer,IL,1151,3.0,0.0,17.555555555555554,0,52.05381722100665,0.2535824113465337,73
147751.52,7.5,0.21663945907183896,0.9117722358470405,98660.44,593.380301963678,0.0,Harvester,IN,1113,2.0,0.0,2.25,0,46.613252283701996,0.37341295450443496,64
52663.27,10.0,0.25361646768091456,0.6984635124502406,152458.63,711.1770865710855,0.0,Harvester,MN,1151,0.0,0.0,14.0,1,20.618125517494406,0.46238021664592577,62
82962.31,2.0,0.11683233778238375,0.6471691253190923,130226.24,756.8515329073732,0.0,Combine,NE,1121,1.0,0.0,0.0,1,34.06369832675533,0.29870494112887314,69
173189.31,14.0,0.33672484456555263,0.8172101149848415,139022.53,704.4298197231658,1.0,Tractor,IN,1119,2.0,0.0,1.0,1,45.99512005387261,0.46473460445780734,64
235950.33,1.0,0.23315219237717996,0.8413456003720505,44662.41,733.6274564855744,0.0,Loader,MN,1112,1.0,0.0,0.0,1,38.57610534514305,0.4059999816868939,73
183839.13,10.333333333333334,0.2544576165741408,0.9449801986536592,113117.63,749.3518078628315,0.0,Tillage,WI,1119,2.0,0.0,17.555555555555557,1,44.29678378953704,0.4158640489950667,78
44831.07,6.0,0.20426032454497614,0.6723385150480431,171165.18,732.7390127444994,0.0,Combine,MO,1112,0.0,0.0,28.666666666666668,1,22.877967879142997,0.40850438878669015,71
84852.04,7.0,0.3744231432262033,0.8232224834998819,108210.1,624.5746518726843,0.0,Sprayer,IA,1113,1.0,0.0,20.666666666666668,1,40.44098697985605,0.5,65
187525.77,12.5,0.23341476135992073,0.8019831427393284,40000.0,646.5206052652394,1.0,Combine,WI,1152,4.0,0.0,0.25,0,63.52950665893056,0.3263557480420596,84
120974.58,2.0,0.4241776670342593,0.7346104042571291,134568.58,715.5337265519371,0.0,Combine,KS,1152,0.0,0.0,0.0,1,19.400487768646915,0.5,57
278034.04,17.0,0.31963555482399286,0.9711640878252813,128906.61,615.0100047652895,1.0,Combine,ND,1152,4.0,0.0,0.0,0,67.24808415243146,0.40513938651912995,72
213847.8,5.333333333333333,0.14162115082933457,0.8704541600058463,118164.2,658.7995904348943,1.0,Loader,MO,1119,2.0,0.0,22.222222222222225,0,35.45834308082716,0.2907044646676802,75
207651.24,7.5,0.14926429543114503,0.7629243185188249,105231.39,760.6114819756115,1.0,Loader,SD,1121,2.0,0.0,12.25,1,32.13272582555226,0.3049988437800405,62
313356.28,12.5,0.23652914249450277,1.1212457921713292,94333.9,676.8290914186022,0.0,Tractor,OK,1151,2.0,0.0,0.25,0,49.221231202148196,0.3880866800902064,62
128109.83,9.333333333333334,0.19279424804396988,0.7791190956154465,104892.73,646.7712865637754,1.0,Harvester,IA,3331,2.0,0.0,16.222222222222225,0,34.07262733700868,0.34464899336995247,80
61720.37,10.0,0.16842060883957674,0.5638341902656634,184915.8,584.9630401839546,0.0,Planter,NE,1152,2.0,1.0,0.0,0,42.25649205355479,0.33390762473246716,77
229196.95,0.0,0.2345100989790568,1.1642533905366936,168630.5,758.3077998247596,0.0,Sprayer,OK,3331,1.0,0.0,0.0,1,47.137114982600394,0.39023586901385604,81
70333.13,3.0,0.18428421930055583,0.9029252456181674,156037.61,643.429074891379,0.0,Loader,MO,1121,2.0,0.0,0.0,0,46.21351123141968,0.3418571968377164,78
71432.08,3.0,0.1791525974988053,0.7169567314190237,123607.12,670.6739317486514,1.0,Loader,WI,3331,2.0,1.0,0.0,0,37.8195161533993,0.3235135651920067,67
366879.76,8.0,0.1743244539575538,1.2126085023320883,204730.16,629.2942616219896,1.0,Planter,WI,3331,4.0,1.0,0.0,0,74.37018391649457,0.24558408612456464,77
210850.39,16.5,0.1991260030064731,0.8410889998020462,129931.74,715.8245001858704,1.0,Tillage,MN,1113,3.0,1.0,0.25,0,52.754593050530154,0.31361681690541277,73
225393.18,11.5,0.2935201382647708,0.902903460815185,40000.0,801.0046049085702,0.0,Tractor,OK,3331,3.0,0.0,0.25,1,59.954423076406336,0.42361129211195814,77
408935.1,13.0,0.17895914009967517,1.35,111805.5,730.8983850054826,0.0,Loader,SD,1113,2.0,0.0,0.0,0,62.635294769482364,0.3036885505607104,82
123528.63,13.0,0.255500753527917,0.6406196159606954,115246.15,753.8954134508084,0.0,Tillage,WI,1152,1.0,0.0,0.0,1,35.33178709727919,0.43483717933335864,68
67604.81,7.0,0.14236549239700963,0.7107045612097811,121810.32,692.063777778678,0.0,Loader,IN,1121,1.0,0.0,0.0,1,23.762111296606918,0.3448412698037958,78
99439.71,5.0,0.1921800210267666,0.5891143452449152,142924.66,681.4695136455621,0.0,Sprayer,ND,4238,0.0,0.0,0.0,1,21.222888798412615,0.3997342434299414,69
293292.07,2.0,0.16788146499883888,0.9365339002965638,167506.79,566.1522490159524,1.0,Tillage,KS,1111,4.0,1.0,4.0,0,61.428915871838925,0.265023633255161,75
219969.97,7.0,0.2217448146723709,0.8602478473065669,157874.79,696.6647872114704,0.0,Combine,IL,4238,0.0,0.0,16.0,1,21.44873114050611,0.4288473523913586,77
