make,model,year,hours,price,location,condition,serial_number,source,timestamp,listing_id,title,asset_type,auction,sale_date,buying_format,image_url,source_url,auction_type,buy_now,buy_now_text,features
John Deere,5075E,2022.0,320.0,85000.0,"Ames, IA",Excellent,1LV5075EXHN123456,TractorZoom,2026-01-20 22:53:28.224699,,,,,,,,,,,,
Case IH,Puma 165,2019.0,540.0,92000.0,"Des Moines, IA",Good,ZCATB365JPZ123456,TractorZoom,2026-01-20 22:53:28.224705,,,,,,,,,,,,
John Deere,9RX 640,2023.0,,,"Saskatoon, SK, CAN",,1RW9640DJPJ822535,RitchieBros,2026-01-20 22:53:28.229233,38D26CAD-5E89-3A6D-9EEC-959D66465D55,2023 John Deere 9RX 640 Track Tractor,Track Tractor,"Saskatoon, SK, CAN - Feb 24, 2026",2026-02-24 14:00:00,Live Auction,https://cdn.ironpla.net/i/21063/889/fc14fb07-d97d-42b0-a405-4f3ca29f4e42.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,620,2020.0,,,"Grandview, MB, CAN",,JEEZC620LKF321380,RitchieBros,2026-01-20 22:53:28.229233,FD844674-C335-3543-8A29-0D5454A58771,2020 Case IH 620 Quadtrac Track Tractor,Track Tractor,"Grandview, MB, CAN - Mar 27, 2026",2026-03-27 14:00:00,Live Auction,https://cdn.ironpla.net/i/20827/436/42a08d8f-300d-4e06-9288-332f9b3c458b.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,620,2020.0,,,"Grandview, MB, CAN",,JEEZC620CLF321604,RitchieBros,2026-01-20 22:53:28.229233,B65AA3F6-6461-3FDF-96B4-A84305DEE023,2020 Case IH 620 Quadtrac Track Tractor,Track Tractor,"Grandview, MB, CAN - Mar 27, 2026",2026-03-27 14:00:00,Live Auction,https://cdn.ironpla.net/i/20827/437/3897106d-c55c-4338-854d-55cf8990e0e7.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Steiger 540,2023.0,,,"Redvers, SK, CAN",,JEEZC540LPF510223,RitchieBros,2026-01-20 22:53:28.229233,EEBAAE6B-AE07-325B-AFA6-BFEE53D8FC82,2023 Case IH Steiger 540 Articulated Tractor,Articulated Tractor,"Redvers, SK, CAN - Apr 14, 2026",2026-04-14 18:00:00,Live Auction,https://cdn.ironpla.net/i/19087/142/41892ca2-2c80-449d-b95c-f9f1a9c06b67.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9620RX,2018.0,,,"Manning, AB, CAN",,1RW9620RPJP806112,RitchieBros,2026-01-20 22:53:28.229233,3E245CE5-1420-3B68-905D-60A2CD74B6C4,2018 John Deere 9620RX Track Tractor,Track Tractor,"Manning, AB, CAN - Apr 09, 2026",2026-04-09 14:00:00,Live Auction,https://cdn.ironpla.net/i/20738/904/27b449f7-7ea5-4420-821d-de6c79b011ce.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Steiger 580,2022.0,,,"Rose Valley, SK, CAN",,JEEZC580VNF505804,RitchieBros,2026-01-20 22:53:28.229233,0A18DDF0-171A-3856-9E2D-8E20D9DE016B,2022 Case IH Steiger 580 Articulated Tractor,Articulated Tractor,"Rose Valley, SK, CAN - Apr 17, 2026",2026-04-17 18:00:00,Live Auction,https://cdn.ironpla.net/i/20492/457/7cb0ed8b-42a5-44a9-b4a5-16bbbe76d3f5.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9570RX,2016.0,,,"Saskatoon, SK, CAN",,1RW9570RPGP801226,RitchieBros,2026-01-20 22:53:28.229233,CA39F199-AFDA-30D2-AF7F-9E8D8704A47E,2016 John Deere 9570RX Track Tractor,Track Tractor,"Saskatoon, SK, CAN - Feb 24, 2026",2026-02-24 14:00:00,Live Auction,https://cdn.ironpla.net/i/21063/890/5ca24067-b7b0-49bc-9a78-85bf42118f99.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9470RX,2021.0,,,"Saskatoon, SK, CAN",,1RW9470RKMP811268,RitchieBros,2026-01-20 22:53:28.229233,658D8D0D-4BAE-3830-978E-EF0B13039101,2021 John Deere 9470RX Track Tractor,Track Tractor,"Saskatoon, SK, CAN - Feb 24, 2026",2026-02-24 14:00:00,Live Auction,https://cdn.ironpla.net/i/21063/891/8af4e6db-3b21-4c6d-8a0f-705b7c9ce8ca.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9620R,2017.0,,,"Sibbald, AB, CAN",,1RW9620RAGP054122,RitchieBros,2026-01-20 22:53:28.229233,93CFD66B-46C1-3ECD-B875-E88E2AF88885,2017 John Deere 9620R Articulated 4WD Tractor,Articulated Tractor,"Sibbald, AB, CAN - Mar 12, 2026",2026-03-12 18:00:00,Live Auction,https://cdn.ironpla.net/i/20548/881/440b15bd-34c1-4ff7-b6a1-44b2c97dd2cb.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9520R,2016.0,,,"Rosthern, SK, CAN",,1RW9520R0GP052573,RitchieBros,2026-01-20 22:53:28.229233,6BACF435-78D4-3D90-8FD0-7E14E0D064D9,2016 John Deere 9520R Articulated Tractor,Articulated Tractor,"Rosthern, SK, CAN - Apr 09, 2026",2026-04-09 14:00:00,Live Auction,https://cdn.ironpla.net/i/20732/3/bc10c4cd-46ce-4de2-b5b9-2ee85f7366bc.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9620RX,2017.0,,,"Enchant, AB, CAN",,1RW9620RBHP802289,RitchieBros,2026-01-20 22:53:28.229233,8A52D787-4A98-3C27-8075-E19A8A9D8BC9,2017 John Deere 9620RX Track Tractor,Track Tractor,"Enchant, AB, CAN - Mar 26, 2026",2026-03-26 14:00:00,Live Auction,https://cdn.ironpla.net/i/20293/341/3855e36a-2d35-46fc-ae74-98a8b2d95eac.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,540,2015.0,,,"Melfort, SK, CAN",,ZFF305005,RitchieBros,2026-01-20 22:53:28.229233,B75DAF06-748A-3174-9615-3578FA0087AA,2015 Case IH 540 Quadtrac Track Tractor,Track Tractor,"Melfort, SK, CAN - Apr 13, 2026",2026-04-13 14:00:00,Live Auction,https://cdn.ironpla.net/i/20542/859/bb8e5c73-5969-4882-9fa8-bf6c41a4b215.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,620,2015.0,,,"Windthorst, SK, CAN",,ZFF303822,RitchieBros,2026-01-20 22:53:28.229233,481DD330-BF0D-3939-8600-CD7AF09741F9,2015 Case IH 620 Quadtrac Track Tractor,Track Tractor,"Windthorst, SK, CAN - Apr 24, 2026",2026-04-24 14:00:00,Live Auction,https://cdn.ironpla.net/i/20678/696/cff69c49-7039-4088-a36d-7de37aa812fd.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,580,2015.0,,,"Foremost, AB, CAN",,ZFF304356,RitchieBros,2026-01-20 22:53:28.229233,EC7F960E-0792-3C33-8F25-876230989AC9,2015 Case IH 580 Quadtrac Track Tractor,Track Tractor,"Foremost, AB, CAN - Mar 17, 2026",2026-03-17 14:00:00,Live Auction,https://cdn.ironpla.net/i/19329/578/68366149-0c79-4d26-a811-13948da48d6c.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9560R,2014.0,,,"Rouleau, SK, CAN",,1RW9560RLEP011327,RitchieBros,2026-01-20 22:53:28.229233,8E4259D5-D25F-3185-AF74-74EE7D09E2E7,2014 John Deere 9560R Articulated Tractor,Articulated Tractor,"Regina, SK, CAN - Mar 24, 2026",2026-03-24 14:00:00,Live Auction,https://cdn.ironpla.net/i/20971/726/5a88239e-66b3-46c3-be0d-47aae3547917.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Steiger 500HD,2013.0,,,"Wakaw, SK, CAN",,ZDF135856,RitchieBros,2026-01-20 22:53:28.229233,6E8C0750-5781-3EBF-A096-6A04D1225C16,2013 Case IH Steiger 500HD Articulated Tractor,Articulated Tractor,"Wakaw, SK, CAN - Apr 14, 2026",2026-04-14 14:00:00,Live Auction,https://cdn.ironpla.net/i/20228/937/28070de2-a418-4f31-90ad-09ebf5fbdcc3.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9570RT,2016.0,,,"Gilbert Plains, MB, CAN",,1RW9570RVFP15022,RitchieBros,2026-01-20 22:53:28.229233,57B9B9E4-D550-3867-A3B8-6BDA3888F6BF,2016 John Deere 9570RT Track Tractor,Track Tractor,"Gilbert Plains, MB, CAN - Mar 26, 2026",2026-03-26 13:00:00,Live Auction,https://cdn.ironpla.net/i/19140/960/8429c00d-5a4d-454a-8368-05dcba340bf2.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,500,2012.0,,,"Plenty, SK, CAN",,ZCF131192,RitchieBros,2026-01-20 22:53:28.229233,00251EDE-50F7-3963-B056-7F38C6EEDE62,2012 Case IH 500 Quadtrac Track Tractor,Track Tractor,"Plenty, SK, CAN - Mar 28, 2026",2026-03-28 18:00:00,Live Auction,https://cdn.ironpla.net/i/19745/566/876f6714-f168-4f5e-952a-141def848b4d.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,600,2012.0,,,"Edgerton, AB, CAN",,ZCF133338,RitchieBros,2026-01-20 22:53:28.229233,BB9BF30E-9601-3E4B-A56C-85053C166F2D,2012 Case IH 600 Quadtrac Track Tractor,Track Tractor,"Edgerton, AB, CAN - Apr 24, 2026",2026-04-24 14:00:00,Live Auction,https://cdn.ironpla.net/i/19456/192/d6d76ac1-a32e-4d6e-8912-3460678030b2.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,8370R,2014.0,,,"Saskatoon, SK, CAN",,1RW8370REED095385,RitchieBros,2026-01-20 22:53:28.229233,31E93A14-BB18-3C38-932B-0F23DB3779CA,2014 John Deere 8370R 4WD Tractor,4WD Tractor,"Saskatoon, SK, CAN - Feb 24, 2026",2026-02-24 14:00:00,Live Auction,https://cdn.ironpla.net/i/21063/892/ecfeb2e3-cd6e-4c50-837f-8499b33c1740.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Case,2014.0,,,"Windthorst, SK, CAN",,ZEF300453,RitchieBros,2026-01-20 22:53:28.229233,D4F98253-9FF1-3710-8F28-89E38B4FC5C8,2014 Case IH 470 Articulated Tractor,Articulated Tractor,"Windthorst, SK, CAN - Apr 24, 2026",2026-04-24 14:00:00,Live Auction,https://cdn.ironpla.net/i/20678/699/688cc788-0563-4f63-8d4f-739b2c3c7a62.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
